City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Cayenne,4.9333,-52.3333,82.09,1,75,6.91,GF,2022-05-13 20:38:02
68,Katsuura,35.1333,140.3,68.02,95,100,24.36,JP,2022-05-13 20:38:02
69,Cape Town,-33.9258,18.4232,59.11,89,40,6.91,ZA,2022-05-13 20:34:42
70,Byron Bay,-28.65,153.6167,67.71,88,99,13.33,AU,2022-05-13 20:38:03
71,Nanortalik,60.1432,-45.2371,31.21,79,99,6.51,GL,2022-05-13 20:38:03
72,East London,-33.0153,27.9116,62.42,77,53,8.39,ZA,2022-05-13 20:38:04
73,Salalah,17.0151,54.0924,84.29,70,0,3.44,OM,2022-05-13 20:38:04
74,Esperance,-33.8667,121.9,56.66,62,67,20.71,AU,2022-05-13 20:38:05
75,Alyangula,-13.8483,136.4192,75.58,74,1,8.12,AU,2022-05-13 20:38:05
76,Zaltan,32.947,11.8665,65.59,62,0,10.63,LY,2022-05-13 20:38:05
77,Cherskiy,68.75,161.3,38.03,74,29,15.61,RU,2022-05-13 20:33:15
78,Gold Coast,-28.0,153.4333,68.23,94,75,14.97,AU,2022-05-13 20:33:45
79,Carauari,-4.8828,-66.8958,83.1,81,64,1.61,BR,2022-05-13 20:38:06
80,West Bay,19.3667,-81.4167,84.99,74,40,5.75,KY,2022-05-13 20:38:06
81,Saint-Philippe,-21.3585,55.7679,67.59,70,1,6.89,RE,2022-05-13 20:36:44
82,Tondano,1.3038,124.9112,69.89,94,100,1.74,ID,2022-05-13 20:38:07
83,Margate,51.3813,1.3862,55.69,76,93,4.0,GB,2022-05-13 20:38:07
84,Coihaique,-45.5752,-72.0662,46.35,66,75,4.61,CL,2022-05-13 20:38:08
85,Ayagoz,47.9714,80.4392,54.88,65,61,4.18,KZ,2022-05-13 20:38:08
86,Lasa,46.6166,10.7002,65.28,95,98,4.59,IT,2022-05-13 20:38:09
87,Lodja,-3.4833,23.4333,72.52,77,44,2.01,CD,2022-05-13 20:38:09
88,Kirakira,-10.4544,161.9205,80.96,79,13,3.18,SB,2022-05-13 20:38:10
89,Ekhabi,53.5102,142.9671,33.26,98,100,11.9,RU,2022-05-13 20:38:10
90,Luba,3.4568,8.5547,81.09,84,61,7.16,GQ,2022-05-13 20:38:10
91,Turbat,26.0023,63.044,87.6,24,0,4.83,PK,2022-05-13 20:38:11
92,Praia Da Vitoria,38.7333,-27.0667,59.25,88,40,5.97,PT,2022-05-13 20:38:11
93,Usinsk,65.9939,57.5281,47.44,78,85,8.93,RU,2022-05-13 20:38:17
94,Sunrise Manor,36.2111,-115.0731,89.91,8,0,5.75,US,2022-05-13 20:38:17
95,Nemuro,43.3236,145.575,45.64,99,100,22.19,JP,2022-05-13 20:38:17
96,Oistins,13.0667,-59.5333,84.29,70,20,19.57,BB,2022-05-13 20:38:18
97,Mbuji-Mayi,-6.15,23.6,78.48,53,88,3.76,CD,2022-05-13 20:38:19
98,Gueret,46.1667,1.8667,55.4,96,25,3.15,FR,2022-05-13 20:38:19
99,Cairns,-16.9167,145.7667,73.06,94,0,1.14,AU,2022-05-13 20:38:20
100,Ganzhou,28.8184,115.4327,61.27,91,11,5.53,CN,2022-05-13 20:36:30
101,Candelaria,13.9311,121.4233,77.5,90,53,1.1,PH,2022-05-13 20:38:21
102,Salmas,38.1973,44.7653,48.07,71,0,2.33,IR,2022-05-13 20:38:21
103,Bredasdorp,-34.5322,20.0403,55.36,74,79,7.2,ZA,2022-05-13 20:36:22
104,Coahuayana,18.7333,-103.6833,92.77,39,100,8.46,MX,2022-05-13 20:38:22
105,Yerbogachen,61.2767,108.0108,39.0,94,97,3.71,RU,2022-05-13 20:38:23
106,Leningradskiy,69.3833,178.4167,32.79,75,17,5.57,RU,2022-05-13 20:38:23
107,Shakawe,-18.3667,21.85,62.64,34,0,2.26,BW,2022-05-13 20:38:23
108,Galesong,-5.3166,119.3661,75.22,84,85,5.39,ID,2022-05-13 20:38:24
109,Inta,66.0317,60.1659,47.97,72,44,7.09,RU,2022-05-13 20:38:24
110,Xining,36.6167,101.7667,36.84,89,100,3.71,CN,2022-05-13 20:38:25
111,Rio Gallegos,-51.6226,-69.2181,46.45,71,0,12.66,AR,2022-05-13 20:38:26
112,College,64.8569,-147.8028,46.0,77,75,9.22,US,2022-05-13 20:38:26
113,Sao Lourenco Do Sul,-31.3653,-51.9783,58.71,76,61,5.95,BR,2022-05-13 20:38:26
114,Kyshtovka,56.555,76.6271,56.17,51,9,5.66,RU,2022-05-13 20:38:27
115,Tamandare,-8.7597,-35.1047,78.96,80,72,5.66,BR,2022-05-13 20:38:27
116,Yulara,-25.2406,130.9889,63.57,53,94,7.52,AU,2022-05-13 20:38:28
117,Severo-Kurilsk,50.6789,156.125,39.0,96,100,15.77,RU,2022-05-13 20:38:28
118,Chuy,-33.6971,-53.4616,57.67,73,96,6.15,UY,2022-05-13 20:38:29
119,La Ronge,55.1001,-105.2842,50.22,43,100,16.11,CA,2022-05-13 20:38:29
120,Posse,-14.0931,-46.3694,76.66,37,94,3.51,BR,2022-05-13 20:38:29
121,Yeppoon,-23.1333,150.7333,69.58,90,5,7.87,AU,2022-05-13 20:38:30
122,Pangnirtung,66.1451,-65.7125,21.2,73,75,10.36,CA,2022-05-13 20:38:30
123,Marawi,7.9986,124.2928,70.02,90,100,1.68,PH,2022-05-13 20:38:31
124,Christchurch,-43.5333,172.6333,50.95,89,75,3.44,NZ,2022-05-13 20:35:20
125,Provideniya,64.3833,-173.3,39.22,52,1,5.73,RU,2022-05-13 20:38:32
126,Kovdor,67.5662,30.4758,39.22,80,30,0.92,RU,2022-05-13 20:38:32
127,Formosa,-26.1775,-58.1781,75.18,57,0,4.61,AR,2022-05-13 20:38:33
